Bar~0@0,Swing,4/4,A,140.0
Bar~51@204,Swing,4/4,A,140.0
Bass,40,204.0,1,62
Drums,44,204.0,0.25,71
Bass,36,205.0,1,76
Drums,44,205.0,0.25,69
Bass,35,206.0,1,77
Drums,44,206.0,0.25,66
Bass,32,207.0,1,60
Drums,44,207.0,0.25,77
Bar~52@208,Swing,4/4,A,140.0
Bass,36,208.0,1,65
Drums,44,208.0,0.333,73
Piano,48,208.0,1,79
Piano,52,208.0,1,65
Piano,57,208.0,1,75
Piano,64,208.0,1,64
Piano,69,208.0,1,62
Piano,76,208.0,1,78
Bass,33,209.0,1,68
Drums,44,209.0,0.333,77
Bass,33,210.0,1,80
Drums,44,210.0,0.333,65
Piano,57,210.0,1,65
Piano,60,210.0,1,61
Piano,64,210.0,1,73
Piano,69,210.0,1,78
Bass,28,211.0,0.666,60
Drums,44,211.0,0.333,77
Bar~53@212,Swing,4/4,A,140.0
Bass,36,212.0,1,61
Drums,44,212.0,0.333,76
Bass,44,213.0,1,73
Drums,44,213.0,0.333,63
Bass,45,214.0,1,71
Drums,44,214.0,0.333,79
Piano,48,214.0,1,67
Piano,52,214.0,1,63
Piano,57,214.0,1,70
Piano,64,214.0,1,76
Piano,69,214.0,1,68
Piano,76,214.0,1,60
Bass,48,215.0,0.5,68
Drums,44,215.0,0.333,78
Bar~54@216,Swing,4/4,A,140.0
Bass,43,216.0,0.750,78
Drums,36,216.0,0.333,76
Drums,44,216.0,0.333,74
Piano,55,216.0,1,62
Piano,58,216.0,1,77
Piano,62,216.0,1,79
Piano,67,216.0,1,72
Bass,43,217.0,1,75
Drums,44,217.0,0.333,76
Bass,43,218.0,1,64
Drums,44,218.0,0.333,78
Piano,55,218.0,0.666,68
Piano,58,218.0,0.666,64
Piano,62,218.0,0.666,63
Piano,67,218.0,0.666,63
Bass,46,219.0,1,69
Drums,36,219.0,0.333,62
Drums,44,219.0,0.25,62
Bar~55@220,Swing,4/4,A,140.0
Bass,36,220.0,1,75
Drums,44,220.0,0.333,71
Piano,60,220.0,0.666,71
Piano,64,220.0,0.666,68
Piano,67,220.0,0.666,60
Piano,72,220.0,0.666,78
Bass,31,221.0,1,64
Drums,44,221.0,0.333,74
Bass,31,222.0,0.5,77
Piano,48,222.0,1,67
Piano,52,222.0,1,73
Piano,55,222.0,1,76
Piano,60,222.0,1,79
Bass,28,223.0,0.5,72
Drums,44,223.0,0.25,60
Bar~56@224,Swing,4/4,A,140.0
Bass,29,224.0,1,70
Bass,28,225.0,1,67
Drums,44,225.0,0.333,80
Bass,29,226.0,0.666,71
Drums,44,226.0,0.333,75
Bass,36,227.0,1,62
Drums,44,227.0,0.25,61
Bar~57@228,Swing,4/4,A,140.0
Bass,34,228.0,1,68
Drums,44,228.0,0.333,73
Bass,34,229.0,1,79
Drums,44,229.0,0.333,60
Piano,50,229.0,1,75
Piano,58,229.0,1,69
Piano,65,229.0,1,80
Piano,70,229.0,1,76
Piano,77,229.0,1,76
Bass,34,230.0,1,79
Drums,44,230.0,0.333,66
Piano,50,230.0,0.666,71
Piano,58,230.0,0.666,61
Piano,65,230.0,0.666,68
Piano,70,230.0,0.666,62
Piano,77,230.0,0.666,70
Bass,38,231.0,0.750,79
Drums,44,231.0,0.25,70
Bar~58@232,Swing,4/4,A,140.0
Bass,28,232.0,0.5,71
Drums,44,232.0,0.333,66
Piano,55,232.0,1,75
Piano,59,232.0,1,71
Piano,64,232.0,1,77
Piano,71,232.0,1,63
Bass,35,233.0,0.750,60
Drums,44,233.0,0.333,69
Bass,28,234.0,1,78
Drums,44,234.0,0.333,79
Bass,35,235.0,1,65
Drums,44,235.0,0.25,60
Bar~59@236,Swing,4/4,A,140.0
Bass,39,236.0,1,78
Drums,44,236.0,0.25,73
Bass,37,237.0,1,60
Drums,36,237.0,0.333,72
Drums,44,237.0,0.25,64
Piano,51,237.0,0.666,63
Piano,54,237.0,0.666,73
Piano,58,237.0,0.666,64
Piano,63,237.0,0.666,72
Bass,36,238.0,1,60
Piano,51,238.0,0.666,66
Piano,56,238.0,0.666,72
Piano,60,238.0,0.666,77
Piano,63,238.0,0.666,79
Bass,38,239.0,1,77
Drums,44,239.0,0.25,74
Bar~60@240,Swing,4/4,A,140.0
Bass,38,240.0,0.666,68
Drums,44,240.0,0.25,65
Bass,38,241.0,1,61
Drums,44,241.0,0.25,65
Bass,38,242.0,1,62
Drums,44,242.0,0.25,75
Piano,53,242.0,1,71
Piano,57,242.0,1,64
Piano,62,242.0,1,77
Piano,69,242.0,1,76
Bass,33,243.0,1,79
Drums,44,243.0,0.25,75
Bar~61@244,Swing,4/4,A,140.0
Bass,31,244.0,1,60
Drums,44,244.0,0.25,62
Bass,30,245.0,1,63
Drums,44,245.0,0.25,62
Bass,31,246.0,1,77
Drums,44,246.0,0.25,77
Piano,55,246.0,1,67
Piano,59,246.0,1,80
Piano,62,246.0,1,65
Piano,67,246.0,1,80
