kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Drums, 44, 153.666, 0.333, 79
Bass, 50, 154.0, 1, 67
Bass, 42, 155.0, 1, 65
Drums, 44, 155.0, 0.333, 72
Drums, 36, 155.666, 0.333, 73
Drums, 44, 155.666, 0.333, 80
Bar~39@156, Swing, 4/4, A, 140
Bass, 41, 156.0, 1, 80
Drums, 44, 156.0, 1, 67
Bass, 38, 157.0, 1, 69
Drums, 44, 157.0, 0.333, 73
Piano, 59, 157.0, 1, 76
Piano, 75, 157.0, 1, 73
Piano, 68, 157.0, 1, 64
Piano, 65, 157.0, 1, 62
Drums, 44, 157.666, 0.333, 68
Bass, 37, 158.0, 1, 70
Drums, 44, 158.0, 1, 71
Bass, 35, 159.0, 1, 70
Drums, 44, 159.0, 1, 75
Bar~40@160, Swing, 4/4, A, 140
Bass, 31, 160.0, 1, 66
Drums, 44, 160.0, 1, 69
Piano, 59, 160.0, 1, 77
Piano, 52, 160.0, 1, 80
Piano, 69, 160.0, 1, 68
Piano, 62, 160.0, 1, 60
Bass, 28, 161.0, 1, 68
Drums, 44, 161.0, 0.333, 76
Drums, 44, 161.666, 0.333, 74
Bass, 36, 162.0, 1, 73
Drums, 44, 162.0, 1, 70
Piano, 59, 162.0, 1, 74
Piano, 52, 162.0, 1, 67
Piano, 69, 162.0, 1, 79
Piano, 62, 162.0, 1, 73
Bass, 40, 163.0, 1, 61
Drums, 44, 163.0, 0.333, 68
Drums, 44, 163.666, 0.333, 68
Bar~41@164, Swing, 4/4, A, 140
Bass, 31, 164.0, 1, 68
Drums, 44, 164.0, 1, 64
Bass, 34, 165.0, 1, 62
Drums, 44, 165.0, 0.333, 79
Drums, 44, 165.666, 0.333, 73
Bass, 35, 166.0, 1, 66
Drums, 44, 166.0, 0.333, 74
Piano, 59, 166.0, 1, 62
Piano, 53, 166.0, 1, 80
Piano, 67, 166.0, 1, 71
Piano, 61, 166.0, 1, 76
Drums, 44, 166.666, 0.333, 71
Bass, 31, 167.0, 1, 73
Drums, 44, 167.0, 0.333, 77
Drums, 44, 167.666, 0.333, 70
Bar~42@168, Swing, 4/4, A, 140
Bass, 45, 168.0, 1, 65
Drums, 44, 168.0, 1, 66
Piano, 57, 168.0, 1, 75
Piano, 74, 168.0, 1, 78
Piano, 67, 168.0, 1, 78
